BILL OF MATERIALS,,,,
Component,Description,Base,Extra cost,Link
Ceramic Capacitor Kit,Monolithic Ceramic Capacitor Kit 0.1uf - 10uf  500 pcs,$10.93 ,-,https://www.aliexpress.com/item/1005006772301578.html?spm=a2g0o.productlist.main.32.28fd4d9dNmQm8b&algo_pvid=481dbf38-0228-437b-89a1-11371636bc9c&aem_p4p_detail=2025070516251011559118486215700004231565&algo_exp_id=481dbf38-0228-437b-89a1-11371636bc9c-25&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21NZD%2110.93%211.66%21%21%216.50%210.99%21%402101effb17517579108254835e8b56%2112000038249154392%21sea%21NZ%216394433987%21ABX&curPageLogUid=EixJBf52480q&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025070516251011559118486215700004231565_7
Electrolytic Capacitor Kit,Aluminium Electrolytic Capacitors Kit 1uf - 470uf 120 pcs,$5.82 ,-,https://www.aliexpress.com/item/1005005626707702.html?spm=a2g0o.productlist.main.1.33696zwd6zwdiq&algo_pvid=888a458f-cf4b-4112-82b8-b34241255c81&algo_exp_id=888a458f-cf4b-4112-82b8-b34241255c81-0&pdp_ext_f=%7B%22order%22%3A%221412%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21NZD%215.82%211.66%21%21%2124.81%217.08%21%402101ea7117517609208091735e0dee%2112000033796706983%21sea%21NZ%216394433987%21ABX&curPageLogUid=mk4afSyCFG9E&utparam-url=scene%3Asearch%7Cquery_from%3A
Ressitor Kit,Metal Film Resistor Pack Assorted Kit 10ohm - 1m ohm 300pcs,$4.47 ,$9.08 ,https://www.aliexpress.com/item/1005005855324735.html?spm=a2g0o.productlist.main.1.1b22578fKSCLRh&algo_pvid=85089809-d842-4483-bf22-11a567e35ac0&algo_exp_id=85089809-d842-4483-bf22-11a567e35ac0-0&pdp_ext_f=%7B%22order%22%3A%223547%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21NZD%214.35%211.66%21%21%212.59%210.99%21%402101e07217517039549628903eb221%2112000034587357832%21sea%21NZ%216394433987%21ABX&curPageLogUid=GUVoHuNTQhAN&utparam-url=scene%3Asearch%7Cquery_from%3A
,,,,
PCB,Custom PCB (JLCPCB,$2.00 ,$6.40 ,
,,,,
Printing legion,Custom CAD model,,,
,,,,
Total (parts):,,$117.70 ,,
Total:,,$146.27 ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
